gender,body_shape,skin_tone,hair_color,personal_color,style,destination,weather,outfit_top,outfit_bottom,outfit_shoes,outfit_accessories,reason
Male,Pear,Tan,Blonde,Summer,Casual,Campus,Cold & Windy,Striped t-shirt,A-line floral skirt,Black boots,"Waterproof trench coat, leather belt",Shoes are comfortable for long walks.
Male,Hourglass,Light,Red,Summer,Streetwear,Campus,Mild & Pleasant,Pastel silk blouse,Jogger pants,Slip-on shoes,Statement necklace,Soft colors and flowy fabrics suit the occasion and body shape.
Female,Rectangle,Medium,Brown,Autumn,Formal,Job Interview,Rainy & Cool,Light blue oxford shirt,Slim-fit jeans,Espadrille sandals,"Beanie, scarf",Accessories add a personal touch to your look.
Male,Pear,Tan,Blonde,Spring,Formal,Job Interview,Hot & Humid,Denim jacket,Pleated trousers,Flat sandals,"Straw hat, sunglasses",The outfit is easy to mix and match.
Female,Hourglass,Light,Gray,Autumn,Formal,Travel,Rainy & Cool,Loose cotton tunic,A-line floral skirt,Flat sandals,"Straw hat, sunglasses",The outfit is easy to mix and match.
Female,Triangle,Light,Blonde,Spring,Smart Casual,Campus,Cold & Windy,Oversized hoodie,Slim-fit jeans,White sneakers,"Pearl earrings, clutch bag",Soft colors and flowy fabrics suit the occasion and body shape.
Male,Pear,Olive,Gray,Winter,Streetwear,Travel,Sunny & Warm,Loose cotton tunic,Maxi skirt,Nude heels,"Crossbody bag, floppy hat",Light fabrics keep you cool and accessories protect from the sun.
Male,Apple,Dark,Brown,Summer,Casual,Hangout,Sunny & Warm,Striped t-shirt,Maxi skirt,Flat sandals,"Pearl earrings, clutch bag",Colors are chosen to match your personal palette.
Male,Hourglass,Dark,Brown,Spring,Streetwear,Hangout,Rainy & Cool,Flowy tank top,Maxi skirt,Ballet flats,"Crossbody bag, floppy hat",Accessories add a personal touch to your look.
Female,Triangle,Olive,Red,Winter,Formal,Campus,Hot & Humid,Loose cotton tunic,Pleated trousers,Slip-on shoes,"Waterproof trench coat, leather belt",Layering keeps you warm and stylish for casual outings.
Female,Apple,Olive,Gray,Spring,Streetwear,Travel,Mild & Pleasant,Flowy tank top,High-waisted denim shorts,Brown loafers,"Straw hat, sunglasses",Layering keeps you warm and stylish for casual outings.
Male,Rectangle,Medium,Red,Autumn,Formal,Formal Meeting,Sunny & Warm,White linen blouse,Slim-fit jeans,Slip-on shoes,"Leather backpack, watch",Light fabrics keep you cool and accessories protect from the sun.
Male,Pear,Dark,Blonde,Autumn,Casual,Casual Outing,Hot & Humid,Flowy tank top,Cargo pants,Black boots,"Leather backpack, watch",Classic pieces ensure comfort and style.
Male,Pear,Dark,Brown,Summer,Elegant,Job Interview,Sunny & Warm,Oversized hoodie,Slim-fit jeans,Brown loafers,"Pearl earrings, clutch bag",Light fabrics keep you cool and accessories protect from the sun.
Female,Rectangle,Tan,Red,Autumn,Streetwear,Job Interview,Cold & Windy,Light blue oxford shirt,Navy chinos,High-top sneakers,"Leather backpack, watch",Colors are chosen to match your personal palette.
Female,Triangle,Olive,Red,Winter,Bohemian,Formal Meeting,Cold & Windy,Pastel silk blouse,Pleated trousers,Espadrille sandals,"Waterproof trench coat, leather belt",Accessories add a personal touch to your look.
Male,Hourglass,Dark,Gray,Winter,Bohemian,Campus,Sunny & Warm,Oversized hoodie,Pleated trousers,White sneakers,"Straw hat, sunglasses",Soft colors and flowy fabrics suit the occasion and body shape.
Female,Triangle,Olive,Black,Winter,Streetwear,Hangout,Mild & Pleasant,Pastel silk blouse,Wide-leg linen pants,Ballet flats,Statement necklace,Light fabrics keep you cool and accessories protect from the sun.
Female,Apple,Medium,Red,Winter,Bohemian,Job Interview,Rainy & Cool,Flowy tank top,Jogger pants,Slip-on shoes,"Straw hat, sunglasses",Soft colors and flowy fabrics suit the occasion and body shape.
Male,Hourglass,Tan,Black,Winter,Streetwear,Beach,Sunny & Warm,Light blue oxford shirt,A-line floral skirt,Brown loafers,"Leather backpack, watch",Layering keeps you warm and stylish for casual outings.
Male,Rectangle,Tan,Brown,Autumn,Bohemian,Casual Outing,Cold & Windy,White linen blouse,Maxi skirt,Ballet flats,Silk scarf,Accessories add a personal touch to your look.
Female,Apple,Dark,Brown,Winter,Smart Casual,Casual Outing,Rainy & Cool,Flowy tank top,Slim-fit jeans,Black boots,"Beanie, scarf",The outfit is easy to mix and match.
Male,Pear,Dark,Black,Winter,Formal,Travel,Mild & Pleasant,Loose cotton tunic,Jogger pants,Brown loafers,"Waterproof trench coat, leather belt",Colors are chosen to match your personal palette.
Male,Triangle,Light,Brown,Summer,Elegant,Casual Outing,Mild & Pleasant,Striped t-shirt,Navy chinos,Slip-on shoes,Statement necklace,Shoes are comfortable for long walks.
Male,Rectangle,Olive,Black,Summer,Streetwear,Campus,Hot & Humid,Polo shirt,Maxi skirt,Nude heels,Silk scarf,Classic pieces ensure comfort and style.
Female,Triangle,Light,Blonde,Autumn,Casual,Campus,Rainy & Cool,Striped t-shirt,Jogger pants,Flat sandals,"Beanie, scarf",Layering keeps you warm and stylish for casual outings.
Female,Rectangle,Dark,Gray,Spring,Bohemian,Campus,Sunny & Warm,Polo shirt,High-waisted denim shorts,Nude heels,"Waterproof trench coat, leather belt",Classic pieces ensure comfort and style.
Male,Triangle,Tan,Blonde,Winter,Formal,Campus,Rainy & Cool,Pastel silk blouse,Cargo pants,White sneakers,Minimalist bracelet,Classic pieces ensure comfort and style.
Male,Pear,Medium,Red,Summer,Elegant,Hangout,Rainy & Cool,Oversized hoodie,Maxi skirt,Nude heels,"Leather backpack, watch",Colors are chosen to match your personal palette.
Male,Triangle,Tan,Blonde,Autumn,Elegant,Travel,Cold & Windy,Polo shirt,Maxi skirt,High-top sneakers,"Beanie, scarf",Classic pieces ensure comfort and style.
Female,Rectangle,Light,Black,Winter,Streetwear,Wedding Invitation,Rainy & Cool,Denim jacket,Wide-leg linen pants,Black boots,"Leather backpack, watch",Colors are chosen to match your personal palette.
Female,Triangle,Tan,Red,Spring,Casual,Beach,Hot & Humid,Flowy tank top,High-waisted denim shorts,Flat sandals,"Straw hat, sunglasses",Smart layers keep you dry and professional.
Male,Pear,Light,Blonde,Spring,Bohemian,Hangout,Rainy & Cool,Striped t-shirt,Cargo pants,Slip-on shoes,"Beanie, scarf",Light fabrics keep you cool and accessories protect from the sun.
Male,Apple,Tan,Gray,Spring,Casual,Beach,Cold & Windy,Denim jacket,Navy chinos,High-top sneakers,Statement necklace,Smart layers keep you dry and professional.
Female,Hourglass,Tan,Black,Autumn,Elegant,Beach,Mild & Pleasant,Loose cotton tunic,High-waisted denim shorts,Espadrille sandals,"Straw hat, sunglasses",Classic pieces ensure comfort and style.
Male,Apple,Light,Black,Summer,Casual,Job Interview,Sunny & Warm,White linen blouse,Navy chinos,Black boots,"Beanie, scarf",Breathable fabrics and loose fits are perfect for travel in hot weather.
Male,Hourglass,Tan,Black,Spring,Elegant,Travel,Sunny & Warm,Denim jacket,Navy chinos,High-top sneakers,Silk scarf,Light fabrics keep you cool and accessories protect from the sun.
Female,Pear,Light,Brown,Winter,Casual,Wedding Invitation,Hot & Humid,Flowy tank top,Navy chinos,Ballet flats,"Leather backpack, watch",Classic pieces ensure comfort and style.
Male,Pear,Olive,Red,Spring,Formal,Travel,Mild & Pleasant,White linen blouse,Navy chinos,Flat sandals,"Waterproof trench coat, leather belt",The outfit is easy to mix and match.
Male,Hourglass,Tan,Blonde,Winter,Smart Casual,Campus,Mild & Pleasant,Flowy tank top,Pleated trousers,White sneakers,"Pearl earrings, clutch bag",Layering keeps you warm and stylish for casual outings.
Female,Hourglass,Olive,Red,Autumn,Elegant,Campus,Hot & Humid,Denim jacket,Wide-leg linen pants,Brown loafers,"Leather backpack, watch",Breathable fabrics and loose fits are perfect for travel in hot weather.
Male,Hourglass,Dark,Red,Autumn,Elegant,Casual Outing,Sunny & Warm,Light blue oxford shirt,Pleated trousers,Flat sandals,Silk scarf,Colors are chosen to match your personal palette.
Female,Rectangle,Dark,Black,Winter,Elegant,Campus,Sunny & Warm,Polo shirt,High-waisted denim shorts,Flat sandals,Silk scarf,Classic pieces ensure comfort and style.
Female,Apple,Olive,Blonde,Autumn,Bohemian,Wedding Invitation,Rainy & Cool,White linen blouse,Wide-leg linen pants,Flat sandals,Statement necklace,Smart layers keep you dry and professional.
Male,Apple,Medium,Gray,Winter,Streetwear,Campus,Cold & Windy,White linen blouse,Pleated trousers,Ballet flats,"Leather backpack, watch",Colors are chosen to match your personal palette.
Female,Hourglass,Olive,Brown,Autumn,Formal,Travel,Hot & Humid,Light blue oxford shirt,Maxi skirt,White sneakers,Silk scarf,Accessories add a personal touch to your look.
Male,Rectangle,Tan,Blonde,Winter,Formal,Formal Meeting,Mild & Pleasant,Denim jacket,Navy chinos,Ballet flats,Silk scarf,Classic pieces ensure comfort and style.
Male,Rectangle,Dark,Brown,Spring,Elegant,Campus,Hot & Humid,Striped t-shirt,Jogger pants,High-top sneakers,Silk scarf,Classic pieces ensure comfort and style.
Female,Pear,Light,Blonde,Winter,Formal,Formal Meeting,Rainy & Cool,Denim jacket,Navy chinos,White sneakers,"Beanie, scarf",Shoes are comfortable for long walks.
Male,Triangle,Light,Brown,Autumn,Streetwear,Wedding Invitation,Cold & Windy,Striped t-shirt,Pleated trousers,Flat sandals,"Crossbody bag, floppy hat",Colors are chosen to match your personal palette.
Female,Triangle,Tan,Blonde,Summer,Bohemian,Travel,Cold & Windy,Flowy tank top,High-waisted denim shorts,Black boots,Silk scarf,Light fabrics keep you cool and accessories protect from the sun.
Female,Apple,Light,Brown,Spring,Casual,Beach,Mild & Pleasant,Oversized hoodie,High-waisted denim shorts,White sneakers,"Leather backpack, watch",Shoes are comfortable for long walks.
Female,Triangle,Olive,Gray,Summer,Formal,Hangout,Mild & Pleasant,Pastel silk blouse,A-line floral skirt,Nude heels,"Leather backpack, watch",The outfit is easy to mix and match.
Female,Pear,Light,Black,Spring,Streetwear,Job Interview,Rainy & Cool,Pastel silk blouse,High-waisted denim shorts,Flat sandals,"Pearl earrings, clutch bag",Breathable fabrics and loose fits are perfect for travel in hot weather.
Male,Pear,Medium,Brown,Spring,Streetwear,Job Interview,Mild & Pleasant,Polo shirt,Cargo pants,Espadrille sandals,"Pearl earrings, clutch bag",Smart layers keep you dry and professional.
Male,Rectangle,Dark,Gray,Autumn,Bohemian,Casual Outing,Cold & Windy,White linen blouse,A-line floral skirt,Ballet flats,"Pearl earrings, clutch bag",Colors are chosen to match your personal palette.
Female,Triangle,Tan,Brown,Autumn,Smart Casual,Beach,Hot & Humid,Polo shirt,Jogger pants,Espadrille sandals,"Beanie, scarf",Breathable fabrics and loose fits are perfect for travel in hot weather.
Female,Triangle,Tan,Blonde,Spring,Casual,Travel,Sunny & Warm,Pastel silk blouse,Navy chinos,White sneakers,Silk scarf,Shoes are comfortable for long walks.
Male,Rectangle,Light,Brown,Winter,Formal,Beach,Sunny & Warm,Denim jacket,Pleated trousers,Espadrille sandals,Minimalist bracelet,Breathable fabrics and loose fits are perfect for travel in hot weather.
Male,Triangle,Medium,Red,Autumn,Streetwear,Casual Outing,Sunny & Warm,Striped t-shirt,Cargo pants,Brown loafers,"Crossbody bag, floppy hat",Colors are chosen to match your personal palette.
Male,Triangle,Tan,Brown,Autumn,Elegant,Formal Meeting,Sunny & Warm,White linen blouse,Pleated trousers,Espadrille sandals,"Leather backpack, watch",Colors are chosen to match your personal palette.
Female,Pear,Tan,Black,Summer,Formal,Casual Outing,Rainy & Cool,Denim jacket,Jogger pants,Flat sandals,"Beanie, scarf",Colors are chosen to match your personal palette.
Female,Pear,Olive,Red,Autumn,Bohemian,Wedding Invitation,Sunny & Warm,Loose cotton tunic,Maxi skirt,White sneakers,Statement necklace,Breathable fabrics and loose fits are perfect for travel in hot weather.
Female,Pear,Light,Blonde,Summer,Elegant,Hangout,Hot & Humid,White linen blouse,Pleated trousers,Espadrille sandals,Statement necklace,Light fabrics keep you cool and accessories protect from the sun.
Female,Apple,Medium,Black,Spring,Elegant,Casual Outing,Mild & Pleasant,Polo shirt,Navy chinos,White sneakers,"Straw hat, sunglasses",Colors are chosen to match your personal palette.
Male,Rectangle,Dark,Gray,Autumn,Smart Casual,Travel,Cold & Windy,Striped t-shirt,Navy chinos,White sneakers,"Crossbody bag, floppy hat",Shoes are comfortable for long walks.
Female,Apple,Light,Gray,Summer,Streetwear,Formal Meeting,Hot & Humid,Polo shirt,High-waisted denim shorts,Flat sandals,Minimalist bracelet,Smart layers keep you dry and professional.
Female,Apple,Light,Blonde,Spring,Casual,Travel,Hot & Humid,Denim jacket,Maxi skirt,Black boots,"Pearl earrings, clutch bag",Layering keeps you warm and stylish for casual outings.
Male,Apple,Olive,Gray,Summer,Smart Casual,Campus,Hot & Humid,Polo shirt,Slim-fit jeans,Ballet flats,"Leather backpack, watch",Smart layers keep you dry and professional.
Male,Pear,Light,Brown,Winter,Casual,Hangout,Rainy & Cool,Pastel silk blouse,Pleated trousers,Ballet flats,Minimalist bracelet,The outfit is easy to mix and match.
Female,Hourglass,Light,Red,Winter,Streetwear,Hangout,Mild & Pleasant,Loose cotton tunic,Wide-leg linen pants,Ballet flats,"Beanie, scarf",Colors are chosen to match your personal palette.
Female,Pear,Olive,Gray,Spring,Elegant,Job Interview,Cold & Windy,White linen blouse,Wide-leg linen pants,Nude heels,Minimalist bracelet,The outfit is easy to mix and match.
Male,Apple,Medium,Red,Autumn,Formal,Travel,Hot & Humid,Flowy tank top,Maxi skirt,Espadrille sandals,"Beanie, scarf",Smart layers keep you dry and professional.
Female,Rectangle,Light,Black,Summer,Bohemian,Casual Outing,Sunny & Warm,Denim jacket,Jogger pants,Brown loafers,Silk scarf,The outfit is easy to mix and match.
Male,Rectangle,Dark,Gray,Autumn,Smart Casual,Travel,Hot & Humid,Flowy tank top,Pleated trousers,Espadrille sandals,"Pearl earrings, clutch bag",Breathable fabrics and loose fits are perfect for travel in hot weather.
Male,Rectangle,Light,Blonde,Spring,Bohemian,Job Interview,Mild & Pleasant,Striped t-shirt,Slim-fit jeans,High-top sneakers,"Waterproof trench coat, leather belt",Colors are chosen to match your personal palette.
Male,Hourglass,Olive,Gray,Winter,Elegant,Campus,Mild & Pleasant,White linen blouse,A-line floral skirt,White sneakers,"Waterproof trench coat, leather belt",Smart layers keep you dry and professional.
Male,Pear,Tan,Brown,Spring,Formal,Casual Outing,Hot & Humid,Loose cotton tunic,Slim-fit jeans,Flat sandals,"Waterproof trench coat, leather belt",Light fabrics keep you cool and accessories protect from the sun.
Female,Pear,Dark,Red,Summer,Bohemian,Campus,Sunny & Warm,White linen blouse,Slim-fit jeans,White sneakers,"Straw hat, sunglasses",Shoes are comfortable for long walks.
Male,Triangle,Olive,Brown,Summer,Streetwear,Campus,Rainy & Cool,Pastel silk blouse,Maxi skirt,Flat sandals,"Pearl earrings, clutch bag",The outfit is easy to mix and match.
Male,Rectangle,Dark,Gray,Spring,Streetwear,Formal Meeting,Mild & Pleasant,Oversized hoodie,Maxi skirt,High-top sneakers,Minimalist bracelet,Breathable fabrics and loose fits are perfect for travel in hot weather.
Female,Rectangle,Dark,Red,Summer,Smart Casual,Job Interview,Cold & Windy,Loose cotton tunic,Pleated trousers,High-top sneakers,"Crossbody bag, floppy hat",The outfit is easy to mix and match.
Male,Pear,Tan,Brown,Spring,Streetwear,Job Interview,Hot & Humid,Polo shirt,Pleated trousers,High-top sneakers,Silk scarf,Breathable fabrics and loose fits are perfect for travel in hot weather.
Male,Triangle,Medium,Blonde,Summer,Streetwear,Beach,Hot & Humid,Pastel silk blouse,Maxi skirt,Black boots,"Leather backpack, watch",Breathable fabrics and loose fits are perfect for travel in hot weather.
Male,Pear,Tan,Brown,Summer,Formal,Hangout,Cold & Windy,Polo shirt,Navy chinos,White sneakers,"Waterproof trench coat, leather belt",Breathable fabrics and loose fits are perfect for travel in hot weather.
Male,Rectangle,Medium,Black,Winter,Bohemian,Travel,Mild & Pleasant,Pastel silk blouse,Wide-leg linen pants,Espadrille sandals,"Crossbody bag, floppy hat",Accessories add a personal touch to your look.
Female,Pear,Dark,Brown,Summer,Elegant,Job Interview,Rainy & Cool,Polo shirt,Wide-leg linen pants,High-top sneakers,"Beanie, scarf",Accessories add a personal touch to your look.
Female,Apple,Tan,Black,Winter,Streetwear,Travel,Sunny & Warm,Polo shirt,Cargo pants,Espadrille sandals,Silk scarf,Layering keeps you warm and stylish for casual outings.
Female,Pear,Light,Blonde,Spring,Streetwear,Job Interview,Sunny & Warm,Loose cotton tunic,Jogger pants,Black boots,"Pearl earrings, clutch bag",Classic pieces ensure comfort and style.
Male,Triangle,Tan,Blonde,Winter,Bohemian,Campus,Cold & Windy,Flowy tank top,Jogger pants,Nude heels,"Pearl earrings, clutch bag",Smart layers keep you dry and professional.
Male,Apple,Tan,Blonde,Spring,Casual,Beach,Mild & Pleasant,Loose cotton tunic,Maxi skirt,Espadrille sandals,"Pearl earrings, clutch bag",Colors are chosen to match your personal palette.
Male,Apple,Olive,Black,Spring,Formal,Job Interview,Sunny & Warm,Pastel silk blouse,Navy chinos,Slip-on shoes,Minimalist bracelet,Smart layers keep you dry and professional.
Male,Rectangle,Light,Red,Spring,Casual,Wedding Invitation,Cold & Windy,Loose cotton tunic,Pleated trousers,Slip-on shoes,"Beanie, scarf",Colors are chosen to match your personal palette.
Female,Apple,Tan,Red,Autumn,Elegant,Campus,Hot & Humid,Polo shirt,Wide-leg linen pants,High-top sneakers,"Crossbody bag, floppy hat",The outfit is easy to mix and match.
Male,Triangle,Tan,Brown,Winter,Casual,Campus,Rainy & Cool,Flowy tank top,High-waisted denim shorts,Nude heels,"Leather backpack, watch",Accessories add a personal touch to your look.
Male,Triangle,Tan,Brown,Autumn,Bohemian,Travel,Cold & Windy,White linen blouse,Jogger pants,Nude heels,"Crossbody bag, floppy hat",Breathable fabrics and loose fits are perfect for travel in hot weather.
Male,Hourglass,Olive,Gray,Summer,Formal,Formal Meeting,Sunny & Warm,Loose cotton tunic,High-waisted denim shorts,Flat sandals,"Straw hat, sunglasses",Accessories add a personal touch to your look.
Male,Triangle,Light,Blonde,Autumn,Bohemian,Formal Meeting,Cold & Windy,Oversized hoodie,Cargo pants,Nude heels,"Straw hat, sunglasses",Light fabrics keep you cool and accessories protect from the sun.
Female,Rectangle,Olive,Red,Autumn,Casual,Formal Meeting,Hot & Humid,Light blue oxford shirt,Jogger pants,White sneakers,Silk scarf,Shoes are comfortable for long walks.
Female,Rectangle,Light,Black,Winter,Streetwear,Casual Outing,Cold & Windy,Polo shirt,Wide-leg linen pants,Flat sandals,"Crossbody bag, floppy hat",Soft colors and flowy fabrics suit the occasion and body shape.
Male,Triangle,Medium,Gray,Winter,Smart Casual,Beach,Cold & Windy,Loose cotton tunic,Navy chinos,Brown loafers,"Waterproof trench coat, leather belt",Breathable fabrics and loose fits are perfect for travel in hot weather.
Female,Hourglass,Dark,Black,Summer,Casual,Formal Meeting,Sunny & Warm,Pastel silk blouse,Maxi skirt,Ballet flats,"Leather backpack, watch",Accessories add a personal touch to your look.
Female,Triangle,Medium,Brown,Spring,Bohemian,Formal Meeting,Sunny & Warm,Polo shirt,Cargo pants,Slip-on shoes,"Pearl earrings, clutch bag",Breathable fabrics and loose fits are perfect for travel in hot weather.
Male,Rectangle,Dark,Gray,Winter,Formal,Travel,Cold & Windy,Denim jacket,High-waisted denim shorts,Espadrille sandals,Minimalist bracelet,Classic pieces ensure comfort and style.
Female,Triangle,Tan,Red,Spring,Elegant,Travel,Cold & Windy,White linen blouse,High-waisted denim shorts,Ballet flats,Silk scarf,Breathable fabrics and loose fits are perfect for travel in hot weather.
Male,Apple,Light,Blonde,Winter,Streetwear,Beach,Sunny & Warm,Oversized hoodie,A-line floral skirt,Espadrille sandals,Silk scarf,Soft colors and flowy fabrics suit the occasion and body shape.
Male,Pear,Light,Blonde,Summer,Casual,Campus,Sunny & Warm,Loose cotton tunic,Cargo pants,Slip-on shoes,"Waterproof trench coat, leather belt",Smart layers keep you dry and professional.
Female,Triangle,Light,Gray,Summer,Elegant,Travel,Hot & Humid,Denim jacket,Pleated trousers,White sneakers,"Waterproof trench coat, leather belt",Accessories add a personal touch to your look.
Female,Pear,Light,Brown,Autumn,Formal,Hangout,Mild & Pleasant,Polo shirt,Jogger pants,White sneakers,"Beanie, scarf",Shoes are comfortable for long walks.
Male,Hourglass,Dark,Red,Winter,Smart Casual,Job Interview,Sunny & Warm,Polo shirt,Jogger pants,Nude heels,"Beanie, scarf",Smart layers keep you dry and professional.
Female,Rectangle,Olive,Brown,Winter,Streetwear,Campus,Cold & Windy,Pastel silk blouse,Wide-leg linen pants,White sneakers,"Beanie, scarf",Shoes are comfortable for long walks.
Female,Triangle,Olive,Blonde,Spring,Bohemian,Wedding Invitation,Rainy & Cool,Polo shirt,Maxi skirt,Ballet flats,"Straw hat, sunglasses",Light fabrics keep you cool and accessories protect from the sun.
Male,Pear,Olive,Black,Spring,Elegant,Job Interview,Rainy & Cool,Loose cotton tunic,Wide-leg linen pants,Espadrille sandals,Silk scarf,Accessories add a personal touch to your look.
Male,Apple,Medium,Blonde,Winter,Formal,Beach,Mild & Pleasant,Denim jacket,Maxi skirt,Nude heels,"Leather backpack, watch",The outfit is easy to mix and match.
Male,Apple,Dark,Black,Spring,Bohemian,Hangout,Cold & Windy,Flowy tank top,Pleated trousers,Black boots,Statement necklace,Smart layers keep you dry and professional.
Female,Apple,Light,Brown,Winter,Formal,Casual Outing,Cold & Windy,Light blue oxford shirt,High-waisted denim shorts,Slip-on shoes,Statement necklace,The outfit is easy to mix and match.
Male,Triangle,Dark,Brown,Summer,Formal,Campus,Rainy & Cool,Light blue oxford shirt,A-line floral skirt,Slip-on shoes,"Leather backpack, watch",Shoes are comfortable for long walks.
Female,Rectangle,Dark,Red,Summer,Streetwear,Wedding Invitation,Mild & Pleasant,Oversized hoodie,Maxi skirt,High-top sneakers,"Waterproof trench coat, leather belt",Light fabrics keep you cool and accessories protect from the sun.
Female,Triangle,Olive,Blonde,Winter,Formal,Formal Meeting,Cold & Windy,Flowy tank top,Jogger pants,Espadrille sandals,Silk scarf,Breathable fabrics and loose fits are perfect for travel in hot weather.
Female,Triangle,Olive,Brown,Winter,Formal,Travel,Mild & Pleasant,Light blue oxford shirt,Wide-leg linen pants,Slip-on shoes,"Straw hat, sunglasses",Smart layers keep you dry and professional.
Male,Hourglass,Dark,Brown,Winter,Streetwear,Job Interview,Mild & Pleasant,Denim jacket,A-line floral skirt,White sneakers,"Pearl earrings, clutch bag",Light fabrics keep you cool and accessories protect from the sun.
Female,Apple,Tan,Blonde,Summer,Formal,Job Interview,Sunny & Warm,Light blue oxford shirt,Navy chinos,Slip-on shoes,"Crossbody bag, floppy hat",Accessories add a personal touch to your look.
Female,Pear,Light,Blonde,Winter,Smart Casual,Casual Outing,Mild & Pleasant,Denim jacket,Jogger pants,Brown loafers,"Leather backpack, watch",The outfit is easy to mix and match.
Male,Apple,Olive,Black,Winter,Casual,Campus,Mild & Pleasant,Pastel silk blouse,Jogger pants,Slip-on shoes,"Waterproof trench coat, leather belt",Breathable fabrics and loose fits are perfect for travel in hot weather.
Female,Apple,Tan,Black,Spring,Bohemian,Beach,Mild & Pleasant,Flowy tank top,Navy chinos,Ballet flats,"Beanie, scarf",The outfit is easy to mix and match.
